transaction_id,date,month,quarter,year,type,sub_type,product,plan,customer_id,sales_rep,region,department,amount,currency,payment_terms,payment_status,churn_risk,discount_pct,contract_length_months,notes
REV-000001,2021-04-01,2021-04,Q2 2021,2021,Revenue,Subscription,TraxCore (ERP),Professional,CUST-00143,REP-048,North America,Sales,9090.3,USD,Net 30,Paid,Low,1.9,6,TraxCore (ERP) Professional — Subscription
REV-000002,2025-08-31,2025-08,Q3 2025,2025,Revenue,Subscription,TraxAnalytics,Starter,CUST-00666,REP-045,Middle East,Sales,1722.94,USD,Monthly,Paid,Medium,0.1,6,TraxAnalytics Starter — Subscription
REV-000003,2024-09-27,2024-09,Q3 2024,2024,Revenue,Subscription,TraxCRM,Starter,CUST-00782,REP-022,North America,Sales,1004.04,USD,Net 30,Paid,Low,5.3,1,TraxCRM Starter — Subscription
REV-000004,2025-02-24,2025-02,Q1 2025,2025,Revenue,Renewal,TraxAnalytics,Starter,CUST-00081,REP-036,APAC,Sales,2624.69,USD,Upfront Annual,Paid,Medium,0.9,6,TraxAnalytics Starter — Renewal
REV-000005,2023-03-31,2023-03,Q1 2023,2023,Revenue,One-time License,TraxCore (ERP),Enterprise,CUST-00390,REP-018,LATAM,Sales,55226.54,USD,Upfront Annual,Paid,Low,13.4,1,TraxCore (ERP) Enterprise — One-time License
REV-000006,2021-12-01,2021-12,Q4 2021,2021,Revenue,Subscription,TraxAnalytics,Professional,CUST-00389,REP-018,Middle East,Sales,4976.54,USD,Upfront Annual,Pending,Medium,4.6,1,TraxAnalytics Professional — Subscription
REV-000007,2023-07-16,2023-07,Q3 2023,2023,Revenue,Subscription,TraxCRM,Starter,CUST-00966,REP-037,APAC,Sales,1267.78,USD,Monthly,Paid,High,9.2,12,TraxCRM Starter — Subscription
REV-000008,2021-07-25,2021-07,Q3 2021,2021,Revenue,Subscription,TraxCore (ERP),Professional,CUST-00765,REP-038,LATAM,Sales,11080.41,USD,Monthly,Paid,High,2.8,24,TraxCore (ERP) Professional — Subscription
REV-000009,2021-01-07,2021-01,Q1 2021,2021,Revenue,Subscription,TraxCore (ERP),Enterprise,CUST-00164,REP-044,LATAM,Sales,52555.81,USD,Monthly,Paid,High,10.6,36,TraxCore (ERP) Enterprise — Subscription
REV-000010,2020-02-17,2020-02,Q1 2020,2020,Revenue,Professional Services,TraxAnalytics,Professional,CUST-00550,REP-049,APAC,Sales,9917.39,USD,Upfront Annual,Paid,Low,9.1,12,TraxAnalytics Professional — Professional Services
REV-000011,2025-08-12,2025-08,Q3 2025,2025,Revenue,Subscription,TraxCore (ERP),Professional,CUST-00641,REP-020,Middle East,Sales,8480.73,USD,Net 60,Paid,Low,19.1,36,TraxCore (ERP) Professional — Subscription
REV-000012,2020-01-03,2020-01,Q1 2020,2020,Revenue,Subscription,TraxAnalytics,Starter,CUST-00952,REP-024,APAC,Sales,1326.8,USD,Net 60,Pending,High,1.7,24,TraxAnalytics Starter — Subscription
REV-000013,2020-10-10,2020-10,Q4 2020,2020,Revenue,Subscription,TraxAnalytics,Professional,CUST-00487,REP-036,Europe,Sales,5385.51,USD,Monthly,Overdue,High,15.1,6,TraxAnalytics Professional — Subscription
REV-000014,2023-06-30,2023-06,Q2 2023,2023,Revenue,Professional Services,TraxCRM,Enterprise,CUST-00449,REP-034,LATAM,Sales,20228.29,USD,Net 60,Paid,Low,11.1,36,TraxCRM Enterprise — Professional Services
REV-000015,2022-06-21,2022-06,Q2 2022,2022,Revenue,Professional Services,TraxCore (ERP),Starter,CUST-00235,REP-005,North America,Sales,2691.2,USD,Net 30,Paid,Low,9.7,36,TraxCore (ERP) Starter — Professional Services
REV-000016,2021-06-25,2021-06,Q2 2021,2021,Revenue,Professional Services,TraxAnalytics,Enterprise,CUST-00485,REP-016,LATAM,Sales,66909.8,USD,Net 60,Paid,Medium,7.1,24,TraxAnalytics Enterprise — Professional Services
REV-000017,2025-03-27,2025-03,Q1 2025,2025,Revenue,Professional Services,TraxAnalytics,Starter,CUST-00662,REP-007,North America,Sales,1685.77,USD,Upfront Annual,Pending,Low,3.8,36,TraxAnalytics Starter — Professional Services
REV-000018,2025-01-11,2025-01,Q1 2025,2025,Revenue,Subscription,TraxCore (ERP),Professional,CUST-00256,REP-005,LATAM,Sales,10272.2,USD,Net 30,Paid,High,16.7,1,TraxCore (ERP) Professional — Subscription
